Area Type,Area Name,Period,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage ,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-6093,Upholsterers,1120,990,-140,-0.1,440,660,960,17.88,37186.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",1270,1110,-150,-0.1,680,940,1460,15.40,32023.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-7011,Cabinetmakers and Bench Carpenters,2560,2280,-280,-0.1,1010,1490,2220,18.73,38942.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-7021,Furniture Finishers,680,590,-90,-0.1,310,400,620,15.64,32538.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",440,440,0,-0.0,130,390,510,16.39,34099.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",1050,930,-110,-0.1,530,850,1270,17.50,36406.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-8012,Power Distributors and Dispatchers,460,450,-10,-0.0,100,330,420,47.18,98133.00,High school diploma or equivalent,None,Long-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-8013,Power Plant Operators,700,670,-30,-0.0,150,500,620,47.02,97810.00,High school diploma or equivalent,None,Long-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-8021,Stationary Engineers and Boiler Operators,560,590,40,0.1,190,420,650,37.19,77362.00,High school diploma or equivalent,None,Long-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-8031,Water and Wastewater Treatment Plant and System Operators,2000,1920,-80,-0.0,600,1180,1690,40.91,85088.00,High school diploma or equivalent,None,Long-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-8092,Gas Plant Operators,190,200,10,0.0,50,170,230,48.24,100338.00,High school diploma or equivalent,None,Long-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",1240,1100,-140,-0.1,280,1020,1150,45.76,95190.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9011,Chemical Equipment Operators and Tenders,700,690,-10,-0.0,180,620,780,27.54,57269.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",850,850,10,0.0,220,760,980,19.39,40338.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",860,770,-90,-0.1,250,710,860,16.39,34095.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9022,"Grinding and Polishing Workers, Hand",1520,1140,-380,-0.2,400,1140,1170,15.72,32681.00,No formal educational credential,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",3540,3520,-20,-0.0,1070,3040,4080,18.75,38983.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9031,"Cutters and Trimmers, Hand",690,440,-260,-0.4,230,460,440,15.82,32910.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",1420,1380,-40,-0.0,580,1140,1680,18.85,39204.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",1310,1190,-120,-0.1,490,870,1240,16.92,35196.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",280,260,-20,-0.1,120,170,270,21.85,45437.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",16040,12900,-3140,-0.2,5740,12090,14680,19.90,41382.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9071,Jewelers and Precious Stone and Metal Workers,2130,1900,-230,-0.1,1220,1340,2330,22.47,46740.00,High school diploma or equivalent,None,Long-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9081,Dental Laboratory Technicians,1570,1760,190,0.1,740,1310,2240,22.56,46920.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9082,Medical Appliance Technicians,510,580,80,0.2,240,430,750,29.53,61422.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9083,Ophthalmic Laboratory Technicians,620,670,50,0.1,290,500,840,18.30,38069.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9111,Packaging and Filling Machine Operators and Tenders,13030,13590,570,0.0,5880,9580,16030,15.83,32930.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",1940,1820,-120,-0.1,570,1480,1930,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9122,"Painters, Transportation Equipment",2490,2510,20,0.0,750,1970,2740,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9123,"Painting, Coating, and Decorating Workers",410,410,0,0.0,120,320,450,18.33,38134.00,No formal educational credential,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9141,Semiconductor Processors,240,230,-10,-0.0,90,190,260,16.80,34944.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9151,Photographic Process Workers and Processing Machine Operators,780,760,-20,-0.0,340,830,1150,25.51,53063.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9191,Adhesive Bonding Machine Operators and Tenders,260,250,-10,-0.0,90,250,330,15.62,32506.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",500,480,-20,-0.0,310,450,740,17.04,35439.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9194,Etchers and Engravers,200,190,-10,-0.1,100,130,220,15.99,33273.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",1510,1490,-20,-0.0,600,1070,1640,17.26,35884.00,High school diploma or equivalent,None,Long-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",1160,1040,-110,-0.1,340,850,1080,20.89,43456.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9198,Helpers--Production Workers,8550,7970,-580,-0.1,4390,7780,11590,15.53,32310.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,51-9199,"Production Workers, All Other",8140,8290,150,0.0,3070,6430,9650,15.64,32529.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-1011,Aircraft Cargo Handling Supervisors,590,600,0,0.0,190,450,640,0.00,0.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Los Angeles Basin,2018-2028,53-1048,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling",13560,15270,1720,0.1,4580,10810,17100,0.00,0.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Los Angeles Basin,2018-2028,53-2011,"Airline Pilots, Copilots, and Flight Engineers",6320,5750,-580,-0.1,1680,4450,5560,0.00,209886.00,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-2012,Commercial Pilots,1090,1280,190,0.2,330,870,1390,0.00,148393.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-2031,Flight Attendants,10320,9840,-480,-0.0,5290,6080,10890,0.00,62632.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",120,130,10,0.1,70,120,200,15.92,33117.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-3021,"Bus Drivers, Transit and Intercity",7950,8880,920,0.1,6530,4090,11540,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-3022,"Bus Drivers, School or Special Client",7060,7630,570,0.1,5700,3570,9830,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-3031,Driver/Sales Workers,13120,13380,260,0.0,5450,9610,15320,16.98,35322.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-3032,Heavy and Tractor-Trailer Truck Drivers,36010,40580,4570,0.1,15770,27780,48110,24.36,50683.00,Postsecondary non-degree award,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-3033,Light Truck or Delivery Services Drivers,34030,38580,4550,0.1,14950,26330,45830,19.42,40395.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-3041,Taxi Drivers and Chauffeurs,12750,15960,3220,0.3,7710,7840,18770,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-3099,"Motor Vehicle Operators, All Other",1680,2030,360,0.2,1880,1240,3470,33.49,69674.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-4099,"Rail Transportation Workers, All Other",100,140,40,0.4,50,80,160,20.04,41691.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-6021,Parking Lot Attendants,10310,10790,480,0.0,5420,10700,16600,15.36,31935.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-6031,Automotive and Watercraft Service Attendants,1190,1270,80,0.1,550,1270,1900,15.71,32681.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-6041,Traffic Technicians,280,320,40,0.1,100,210,350,21.24,44196.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-6051,Transportation Inspectors,1220,1280,70,0.1,380,880,1330,42.90,89240.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-7011,Conveyor Operators and Tenders,630,720,90,0.2,230,570,890,17.56,36520.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-7021,Crane and Tower Operators,1090,1290,200,0.2,380,1020,1590,46.00,95675.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-7032,Excavating and Loading Machine and Dragline Operators,360,390,20,0.1,140,310,470,0.00,0.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-7041,Hoist and Winch Operators,30,30,0,-0.1,10,20,30,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-7051,Industrial Truck and Tractor Operators,13860,15160,1300,0.1,4340,11980,17620,18.28,38015.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-7061,Cleaners of Vehicles and Equipment,18000,18430,420,0.0,9070,17440,26940,15.25,31735.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",102430,113340,10910,0.1,48720,101120,160750,15.78,32817.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-7063,Machine Feeders and Offbearers,1440,1210,-230,-0.2,670,1080,1520,16.13,33546.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-7064,"Packers and Packagers, Hand",29150,29460,320,0.0,17530,24690,42540,15.33,31883.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-7081,Refuse and Recyclable Material Collectors,3810,4300,500,0.1,2210,3390,6090,29.43,61211.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,53-7199,"Material Moving Workers, All Other",3220,3490,270,0.1,1600,2620,4490,15.62,32496.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,00-0000,"Total, All Occupations",48550,51450,2900,0.1,22840,36050,61790,20.58,42805.00,N/A,N/A,N/A
Regional Planning Unit,Middle Sierra,2018-2028,11-1021,General and Operations Managers,670,740,70,0.1,150,460,680,40.33,83897.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Middle Sierra,2018-2028,11-2021,Marketing Managers,30,30,0,0.1,10,20,30,43.81,91124.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Middle Sierra,2018-2028,11-2022,Sales Managers,100,100,0,0.0,20,70,90,53.47,111219.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,11-3011,Administrative Services Managers,60,70,10,0.2,20,30,60,0.00,0.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,11-3021,Computer and Information Systems Managers,30,40,10,0.3,10,20,30,52.09,108359.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Middle Sierra,2018-2028,11-3031,Financial Managers,160,180,20,0.1,40,100,150,45.34,94294.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Middle Sierra,2018-2028,11-3071,"Transportation, Storage, and Distribution Managers",20,30,0,0.2,10,10,20,43.34,90137.00,High school diploma or equivalent,5 years or more,None
Regional Planning Unit,Middle Sierra,2018-2028,11-3121,Human Resources Managers,40,50,10,0.1,10,30,40,53.77,111842.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Middle Sierra,2018-2028,11-9021,Construction Managers,150,160,10,0.0,30,80,120,49.15,102233.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,11-9031,"Education Administrators, Preschool and Childcare Center/Program",30,30,0,0.0,10,10,20,0.00,0.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,11-9032,"Education Administrators, Elementary and Secondary School",100,80,-20,-0.2,20,50,50,0.00,113820.00,Master's degree,5 years or more,None
Regional Planning Unit,Middle Sierra,2018-2028,11-9039,"Education Administrators, All Other",60,60,0,0.1,20,30,50,0.00,0.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,11-9041,Architectural and Engineering Managers,20,20,0,0.1,0,10,10,63.06,131158.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Middle Sierra,2018-2028,11-9051,Food Service Managers,110,120,10,0.0,40,100,140,26.90,55946.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,11-9071,Gaming Managers,40,50,10,0.2,10,40,60,0.00,0.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,11-9081,Lodging Managers,70,70,0,-0.0,20,50,70,30.49,63419.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,11-9111,Medical and Health Services Managers,100,130,30,0.3,30,60,120,56.33,117179.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,11-9131,Postmasters and Mail Superintendents,30,30,0,0.0,10,10,20,37.06,77086.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,11-9141,"Property, Real Estate, and Community Association Managers",110,140,30,0.2,50,50,120,26.93,56020.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,11-9151,Social and Community Service Managers,120,140,20,0.1,40,70,130,32.01,66578.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,11-9199,"Managers, All Other",210,240,30,0.1,60,120,200,0.00,0.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,13-1020,Buyers and Purchasing Agents,80,70,0,-0.0,20,50,70,27.94,58124.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,13-1041,Compliance Officers,50,50,10,0.1,10,30,50,30.84,64140.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,13-1051,Cost Estimators,50,60,0,0.1,10,40,60,27.47,57136.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,13-1071,Human Resources Specialists,100,110,10,0.1,30,80,120,30.78,64010.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,13-1081,Logisticians,20,20,0,0.2,10,10,20,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,13-1111,Management Analysts,150,180,30,0.2,50,100,180,35.64,74137.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,13-1121,"Meeting, Convention, and Event Planners",50,50,0,-0.0,20,40,60,24.55,51047.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,13-1151,Training and Development Specialists,30,40,10,0.3,10,30,50,29.25,60842.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,13-1161,Market Research Analysts and Marketing Specialists,130,160,30,0.3,30,110,180,25.27,52569.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,13-1199,"Business Operations Specialists, All Other",350,400,50,0.1,100,260,410,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,13-2011,Accountants and Auditors,280,330,40,0.1,90,200,330,31.89,66330.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,13-2021,Appraisers and Assessors of Real Estate,30,40,10,0.2,10,20,40,0.00,0.00,Bachelor's degree,None,Long-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,13-2031,Budget Analysts,20,20,0,0.2,10,10,20,25.48,52980.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,13-2051,Financial Analysts,20,30,10,0.3,10,20,30,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,13-2072,Loan Officers,30,20,-10,-0.4,10,10,10,0.00,0.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,15-1131,Computer Programmers,20,20,0,0.2,0,10,20,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,15-1141,Database Administrators,10,10,0,0.3,0,10,10,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,15-1142,Network and Computer Systems Administrators,20,30,10,0.2,0,10,20,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,15-1151,Computer User Support Specialists,70,80,20,0.3,10,50,80,0.00,0.00,"Some college, no degree",None,None
Regional Planning Unit,Middle Sierra,2018-2028,15-1152,Computer Network Support Specialists,20,20,10,0.4,0,10,20,0.00,0.00,Associate's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,15-1199,"Computer Occupations, All Other",60,70,10,0.2,10,40,60,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,17-1022,Surveyors,10,20,0,0.2,0,10,10,30.62,63689.00,Bachelor's degree,None,Internship/residency
Regional Planning Unit,Middle Sierra,2018-2028,17-2031,Biomedical Engineers,0,0,0,0.5,0,0,0,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,17-2041,Chemical Engineers,0,0,0,1.0,0,0,0,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,17-2051,Civil Engineers,50,50,0,0.1,10,30,40,45.17,93946.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,17-2071,Electrical Engineers,20,20,0,0.1,10,10,20,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,17-3011,Architectural and Civil Drafters,30,30,0,0.0,10,20,30,22.48,46743.00,Associate's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,17-3026,Industrial Engineering Technicians,0,0,0,0.0,0,0,0,0.00,0.00,Associate's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,17-3029,"Engineering Technicians, Except Drafters, All Other",10,10,0,0.1,0,10,10,0.00,0.00,Associate's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,17-3031,Surveying and Mapping Technicians,20,20,0,0.1,10,20,20,27.73,57686.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,19-1013,Soil and Plant Scientists,10,10,0,0.1,0,10,10,34.07,70850.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,19-1021,Biochemists and Biophysicists,0,0,0,0.0,0,0,0,0.00,0.00,Doctoral or professional degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,19-1023,Zoologists and Wildlife Biologists,10,10,0,0.1,0,10,10,34.32,71391.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,19-1029,"Biological Scientists, All Other",30,30,0,0.1,0,20,30,35.06,72929.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,19-1031,Conservation Scientists,10,20,0,0.1,0,10,20,35.59,74014.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,19-2041,"Environmental Scientists and Specialists, Including Health",30,40,0,0.1,10,30,40,35.71,74283.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,19-2042,"Geoscientists, Except Hydrologists and Geographers",20,20,0,0.1,0,20,20,34.01,70726.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,19-3031,"Clinical, Counseling, and School Psychologists",170,160,-10,-0.0,40,80,110,57.13,118826.00,Doctoral or professional degree,None,Internship/residency
Regional Planning Unit,Middle Sierra,2018-2028,19-3091,Anthropologists and Archeologists,10,10,0,0.1,0,10,20,0.00,0.00,Master's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,19-4021,Biological Technicians,70,80,10,0.2,10,70,90,19.09,39713.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,19-4093,Forest and Conservation Technicians,260,290,30,0.1,80,250,360,0.00,0.00,Associate's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,19-4099,"Life, Physical, and Social Science Technicians, All Other",20,20,0,0.1,10,20,20,21.21,44130.00,Associate's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,21-1012,"Educational, Guidance, School, and Vocational Counselors",100,90,-10,-0.1,30,70,90,44.53,92609.00,Master's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,21-1013,Marriage and Family Therapists,30,30,0,0.1,10,20,30,30.73,63922.00,Master's degree,None,Internship/residency
Regional Planning Unit,Middle Sierra,2018-2028,21-1015,Rehabilitation Counselors,130,150,30,0.2,50,100,170,17.30,35995.00,Master's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",100,110,10,0.1,30,70,110,23.69,49278.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,21-1021,"Child, Family, and School Social Workers",160,180,20,0.1,50,120,190,23.74,49389.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,21-1029,"Social Workers, All Other",80,90,10,0.1,20,60,90,29.64,61657.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,21-1092,Probation Officers and Correctional Treatment Specialists,120,130,10,0.0,30,80,110,49.62,103206.00,Bachelor's degree,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,21-1093,Social and Human Service Assistants,290,310,20,0.1,120,230,380,21.36,44436.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Middle Sierra,2018-2028,21-1099,"Community and Social Service Specialists, All Other",70,70,10,0.1,30,50,90,22.14,46054.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,23-1011,Lawyers,90,100,10,0.2,20,20,60,54.11,112537.00,Doctoral or professional degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,23-2011,Paralegals and Legal Assistants,50,50,10,0.1,20,40,60,27.10,56358.00,Associate's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,25-1071,"Health Specialties Teachers, Postsecondary",0,0,0,-0.3,0,0,0,0.00,0.00,Doctoral or professional degree,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,25-1081,"Education Teachers, Postsecondary",0,0,0,-1.0,0,0,0,0.00,0.00,Doctoral or professional degree,Less than 5 years,None
Regional Planning Unit,Middle Sierra,2018-2028,25-1126,"Philosophy and Religion Teachers, Postsecondary",0,0,0,-1.0,0,0,0,0.00,0.00,Doctoral or professional degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,25-1199,"Postsecondary Teachers, All Other",20,20,0,-0.2,10,10,10,0.00,0.00,Doctoral or professional degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,25-2011,"Preschool Teachers, Except Special Education",90,100,10,0.1,40,60,100,14.52,30205.00,Associate's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,25-2021,"Elementary School Teachers, Except Special Education",720,600,-130,-0.2,210,280,360,0.00,59748.00,Bachelor's degree,None,None
Regional Planning Unit,Middle Sierra,2018-2028,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",440,360,-80,-0.2,120,170,220,0.00,71539.00,Bachelor's degree,None,None
