O*NET-SOC Code,Title,Related O*NET-SOC Code,Related Title,Index
39-6012.00,Concierges,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",9
39-6012.00,Concierges,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",10
39-7011.00,Tour Guides and Escorts,25-3021.00,Self-Enrichment Education Teachers,1
39-7011.00,Tour Guides and Escorts,25-9041.00,Teacher Assistants,2
39-7011.00,Tour Guides and Escorts,25-2011.00,"Preschool Teachers, Except Special Education",3
39-7011.00,Tour Guides and Escorts,27-3011.00,Radio and Television Announcers,4
39-7011.00,Tour Guides and Escorts,39-4021.00,Funeral Attendants,5
39-7011.00,Tour Guides and Escorts,27-2023.00,"Umpires, Referees, and Other Sports Officials",6
39-7011.00,Tour Guides and Escorts,27-2042.01,Singers,7
39-7011.00,Tour Guides and Escorts,39-7012.00,Travel Guides,8
39-7011.00,Tour Guides and Escorts,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",9
39-7011.00,Tour Guides and Escorts,41-2031.00,Retail Salespersons,10
39-7012.00,Travel Guides,41-3041.00,Travel Agents,1
39-7012.00,Travel Guides,41-3011.00,Advertising Sales Agents,2
39-7012.00,Travel Guides,41-9022.00,Real Estate Sales Agents,3
39-7012.00,Travel Guides,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",4
39-7012.00,Travel Guides,13-1199.03,Customs Brokers,5
39-7012.00,Travel Guides,11-3011.00,Administrative Services Managers,6
39-7012.00,Travel Guides,13-2072.00,Loan Officers,7
39-7012.00,Travel Guides,13-1021.00,"Buyers and Purchasing Agents, Farm Products",8
39-7012.00,Travel Guides,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",9
39-7012.00,Travel Guides,11-9141.00,"Property, Real Estate, and Community Association Managers",10
39-9011.00,Childcare Workers,31-1011.00,Home Health Aides,1
39-9011.00,Childcare Workers,31-2022.00,Physical Therapist Aides,2
39-9011.00,Childcare Workers,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",3
39-9011.00,Childcare Workers,39-9021.00,Personal Care Aides,4
39-9011.00,Childcare Workers,25-2011.00,"Preschool Teachers, Except Special Education",5
39-9011.00,Childcare Workers,31-2012.00,Occupational Therapy Aides,6
39-9011.00,Childcare Workers,25-9041.00,Teacher Assistants,7
39-9011.00,Childcare Workers,31-1013.00,Psychiatric Aides,8
39-9011.00,Childcare Workers,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",9
39-9011.00,Childcare Workers,29-2071.00,Medical Records and Health Information Technicians,10
39-9011.01,Nannies,25-2011.00,"Preschool Teachers, Except Special Education",1
39-9011.01,Nannies,25-9041.00,Teacher Assistants,2
39-9011.01,Nannies,21-1093.00,Social and Human Service Assistants,3
39-9011.01,Nannies,25-3021.00,Self-Enrichment Education Teachers,4
39-9011.01,Nannies,39-9011.00,Childcare Workers,5
39-9011.01,Nannies,31-2011.00,Occupational Therapy Assistants,6
39-9011.01,Nannies,39-9032.00,Recreation Workers,7
39-9011.01,Nannies,39-9031.00,Fitness Trainers and Aerobics Instructors,8
39-9011.01,Nannies,39-9021.00,Personal Care Aides,9
39-9011.01,Nannies,39-9041.00,Residential Advisors,10
39-9021.00,Personal Care Aides,31-1011.00,Home Health Aides,1
39-9021.00,Personal Care Aides,31-2022.00,Physical Therapist Aides,2
39-9021.00,Personal Care Aides,39-9011.00,Childcare Workers,3
39-9021.00,Personal Care Aides,53-6061.00,"Transportation Attendants, Except Flight Attendants",4
39-9021.00,Personal Care Aides,39-4021.00,Funeral Attendants,5
39-9021.00,Personal Care Aides,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",6
39-9021.00,Personal Care Aides,31-2012.00,Occupational Therapy Aides,7
39-9021.00,Personal Care Aides,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",8
39-9021.00,Personal Care Aides,41-2012.00,Gaming Change Persons and Booth Cashiers,9
39-9021.00,Personal Care Aides,51-3011.00,Bakers,10
39-9031.00,Fitness Trainers and Aerobics Instructors,25-3021.00,Self-Enrichment Education Teachers,1
39-9031.00,Fitness Trainers and Aerobics Instructors,25-2011.00,"Preschool Teachers, Except Special Education",2
39-9031.00,Fitness Trainers and Aerobics Instructors,25-1194.00,"Vocational Education Teachers, Postsecondary",3
39-9031.00,Fitness Trainers and Aerobics Instructors,25-9041.00,Teacher Assistants,4
39-9031.00,Fitness Trainers and Aerobics Instructors,31-2021.00,Physical Therapist Assistants,5
39-9031.00,Fitness Trainers and Aerobics Instructors,39-5094.00,Skincare Specialists,6
39-9031.00,Fitness Trainers and Aerobics Instructors,31-9011.00,Massage Therapists,7
39-9031.00,Fitness Trainers and Aerobics Instructors,31-2011.00,Occupational Therapy Assistants,8
39-9031.00,Fitness Trainers and Aerobics Instructors,31-2022.00,Physical Therapist Aides,9
39-9031.00,Fitness Trainers and Aerobics Instructors,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",10
39-9032.00,Recreation Workers,27-2022.00,Coaches and Scouts,1
39-9032.00,Recreation Workers,21-2021.00,"Directors, Religious Activities and Education",2
39-9032.00,Recreation Workers,29-1125.00,Recreational Therapists,3
39-9032.00,Recreation Workers,39-9041.00,Residential Advisors,4
39-9032.00,Recreation Workers,25-2011.00,"Preschool Teachers, Except Special Education",5
39-9032.00,Recreation Workers,25-2023.00,"Career/Technical Education Teachers, Middle School",6
39-9032.00,Recreation Workers,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",7
39-9032.00,Recreation Workers,21-1093.00,Social and Human Service Assistants,8
39-9032.00,Recreation Workers,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",9
39-9032.00,Recreation Workers,39-1021.00,First-Line Supervisors of Personal Service Workers,10
39-9041.00,Residential Advisors,21-1093.00,Social and Human Service Assistants,1
39-9041.00,Residential Advisors,39-1021.00,First-Line Supervisors of Personal Service Workers,2
39-9041.00,Residential Advisors,29-1125.00,Recreational Therapists,3
39-9041.00,Residential Advisors,25-2011.00,"Preschool Teachers, Except Special Education",4
39-9041.00,Residential Advisors,39-9032.00,Recreation Workers,5
39-9041.00,Residential Advisors,33-1011.00,First-Line Supervisors of Correctional Officers,6
39-9041.00,Residential Advisors,29-2053.00,Psychiatric Technicians,7
39-9041.00,Residential Advisors,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,8
39-9041.00,Residential Advisors,25-1194.00,"Vocational Education Teachers, Postsecondary",9
39-9041.00,Residential Advisors,31-2011.00,Occupational Therapy Assistants,10
41-1011.00,First-Line Supervisors of Retail Sales Workers,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,1
41-1011.00,First-Line Supervisors of Retail Sales Workers,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,2
41-1011.00,First-Line Supervisors of Retail Sales Workers,41-2031.00,Retail Salespersons,3
41-1011.00,First-Line Supervisors of Retail Sales Workers,11-9071.00,Gaming Managers,4
41-1011.00,First-Line Supervisors of Retail Sales Workers,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",5
41-1011.00,First-Line Supervisors of Retail Sales Workers,39-1011.00,Gaming Supervisors,6
41-1011.00,First-Line Supervisors of Retail Sales Workers,35-3011.00,Bartenders,7
41-1011.00,First-Line Supervisors of Retail Sales Workers,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",8
41-1011.00,First-Line Supervisors of Retail Sales Workers,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",9
41-1011.00,First-Line Supervisors of Retail Sales Workers,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",10
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,11-2022.00,Sales Managers,1
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,11-3071.03,Logistics Managers,2
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,11-3071.01,Transportation Managers,3
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,27-2012.03,Program Directors,4
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,11-2021.00,Marketing Managers,5
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,6
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,11-9199.04,Supply Chain Managers,7
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,11-2031.00,Public Relations and Fundraising Managers,8
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,11-3121.00,Human Resources Managers,9
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,11-3061.00,Purchasing Managers,10
41-2011.00,Cashiers,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1
41-2011.00,Cashiers,35-3031.00,Waiters and Waitresses,2
41-2011.00,Cashiers,43-5081.01,"Stock Clerks, Sales Floor",3
41-2011.00,Cashiers,41-2021.00,Counter and Rental Clerks,4
41-2011.00,Cashiers,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",5
41-2011.00,Cashiers,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",6
41-2011.00,Cashiers,35-2011.00,"Cooks, Fast Food",7
41-2011.00,Cashiers,35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",8
41-2011.00,Cashiers,41-2012.00,Gaming Change Persons and Booth Cashiers,9
41-2011.00,Cashiers,39-3091.00,Amusement and Recreation Attendants,10
41-2012.00,Gaming Change Persons and Booth Cashiers,43-3041.00,Gaming Cage Workers,1
41-2012.00,Gaming Change Persons and Booth Cashiers,43-5051.00,Postal Service Clerks,2
41-2012.00,Gaming Change Persons and Booth Cashiers,39-3012.00,Gaming and Sports Book Writers and Runners,3
41-2012.00,Gaming Change Persons and Booth Cashiers,39-3011.00,Gaming Dealers,4
41-2012.00,Gaming Change Persons and Booth Cashiers,31-9095.00,Pharmacy Aides,5
41-2012.00,Gaming Change Persons and Booth Cashiers,43-3071.00,Tellers,6
41-2012.00,Gaming Change Persons and Booth Cashiers,35-3011.00,Bartenders,7
41-2012.00,Gaming Change Persons and Booth Cashiers,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",8
41-2012.00,Gaming Change Persons and Booth Cashiers,41-2011.00,Cashiers,9
41-2012.00,Gaming Change Persons and Booth Cashiers,39-6011.00,Baggage Porters and Bellhops,10
41-2021.00,Counter and Rental Clerks,41-2011.00,Cashiers,1
41-2021.00,Counter and Rental Clerks,41-2031.00,Retail Salespersons,2
41-2021.00,Counter and Rental Clerks,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",3
41-2021.00,Counter and Rental Clerks,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",4
41-2021.00,Counter and Rental Clerks,43-5081.01,"Stock Clerks, Sales Floor",5
41-2021.00,Counter and Rental Clerks,43-3071.00,Tellers,6
41-2021.00,Counter and Rental Clerks,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",7
41-2021.00,Counter and Rental Clerks,39-3091.00,Amusement and Recreation Attendants,8
41-2021.00,Counter and Rental Clerks,35-2011.00,"Cooks, Fast Food",9
41-2021.00,Counter and Rental Clerks,35-3031.00,Waiters and Waitresses,10
41-2022.00,Parts Salespersons,41-2031.00,Retail Salespersons,1
41-2022.00,Parts Salespersons,43-4151.00,Order Clerks,2
41-2022.00,Parts Salespersons,43-5051.00,Postal Service Clerks,3
41-2022.00,Parts Salespersons,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",4
41-2022.00,Parts Salespersons,43-3071.00,Tellers,5
41-2022.00,Parts Salespersons,41-2021.00,Counter and Rental Clerks,6
41-2022.00,Parts Salespersons,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",7
41-2022.00,Parts Salespersons,41-2012.00,Gaming Change Persons and Booth Cashiers,8
41-2022.00,Parts Salespersons,43-5061.00,"Production, Planning, and Expediting Clerks",9
41-2022.00,Parts Salespersons,43-4171.00,Receptionists and Information Clerks,10
41-2031.00,Retail Salespersons,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",1
41-2031.00,Retail Salespersons,41-2021.00,Counter and Rental Clerks,2
41-2031.00,Retail Salespersons,39-6012.00,Concierges,3
41-2031.00,Retail Salespersons,41-2022.00,Parts Salespersons,4
41-2031.00,Retail Salespersons,41-1011.00,First-Line Supervisors of Retail Sales Workers,5
41-2031.00,Retail Salespersons,27-1023.00,Floral Designers,6
41-2031.00,Retail Salespersons,35-3011.00,Bartenders,7
41-2031.00,Retail Salespersons,27-3012.00,Public Address System and Other Announcers,8
41-2031.00,Retail Salespersons,43-3071.00,Tellers,9
41-2031.00,Retail Salespersons,31-9095.00,Pharmacy Aides,10
41-3011.00,Advertising Sales Agents,41-9022.00,Real Estate Sales Agents,1
41-3011.00,Advertising Sales Agents,41-9021.00,Real Estate Brokers,2
41-3011.00,Advertising Sales Agents,41-3041.00,Travel Agents,3
41-3011.00,Advertising Sales Agents,39-7012.00,Travel Guides,4
41-3011.00,Advertising Sales Agents,27-3043.04,Copy Writers,5
41-3011.00,Advertising Sales Agents,13-2072.00,Loan Officers,6
41-3011.00,Advertising Sales Agents,41-3021.00,Insurance Sales Agents,7
41-3011.00,Advertising Sales Agents,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",8
41-3011.00,Advertising Sales Agents,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",9
41-3011.00,Advertising Sales Agents,27-3031.00,Public Relations Specialists,10
41-3021.00,Insurance Sales Agents,41-3031.02,"Sales Agents, Financial Services",1
41-3021.00,Insurance Sales Agents,13-2072.00,Loan Officers,2
41-3021.00,Insurance Sales Agents,13-2052.00,Personal Financial Advisors,3
41-3021.00,Insurance Sales Agents,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",4
41-3021.00,Insurance Sales Agents,27-3043.04,Copy Writers,5
41-3021.00,Insurance Sales Agents,41-3031.01,"Sales Agents, Securities and Commodities",6
41-3021.00,Insurance Sales Agents,27-3031.00,Public Relations Specialists,7
41-3021.00,Insurance Sales Agents,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",8
41-3021.00,Insurance Sales Agents,13-1071.00,Human Resources Specialists,9
41-3021.00,Insurance Sales Agents,13-2041.00,Credit Analysts,10
41-3031.01,"Sales Agents, Securities and Commodities",41-3031.02,"Sales Agents, Financial Services",1
41-3031.01,"Sales Agents, Securities and Commodities",13-2052.00,Personal Financial Advisors,2
41-3031.01,"Sales Agents, Securities and Commodities",41-3021.00,Insurance Sales Agents,3
41-3031.01,"Sales Agents, Securities and Commodities",11-3031.02,"Financial Managers, Branch or Department",4
41-3031.01,"Sales Agents, Securities and Commodities",11-2031.00,Public Relations and Fundraising Managers,5
41-3031.01,"Sales Agents, Securities and Commodities",13-2072.00,Loan Officers,6
41-3031.01,"Sales Agents, Securities and Commodities",13-2051.00,Financial Analysts,7
41-3031.01,"Sales Agents, Securities and Commodities",13-2071.01,Loan Counselors,8
41-3031.01,"Sales Agents, Securities and Commodities",13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",9
41-3031.01,"Sales Agents, Securities and Commodities",13-1161.00,Market Research Analysts and Marketing Specialists,10
41-3031.02,"Sales Agents, Financial Services",41-3031.01,"Sales Agents, Securities and Commodities",1
41-3031.02,"Sales Agents, Financial Services",41-3021.00,Insurance Sales Agents,2
41-3031.02,"Sales Agents, Financial Services",13-2052.00,Personal Financial Advisors,3
41-3031.02,"Sales Agents, Financial Services",11-3031.02,"Financial Managers, Branch or Department",4
41-3031.02,"Sales Agents, Financial Services",13-2072.00,Loan Officers,5
41-3031.02,"Sales Agents, Financial Services",13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",6
41-3031.02,"Sales Agents, Financial Services",13-1071.00,Human Resources Specialists,7
41-3031.02,"Sales Agents, Financial Services",11-2031.00,Public Relations and Fundraising Managers,8
41-3031.02,"Sales Agents, Financial Services",27-3031.00,Public Relations Specialists,9
41-3031.02,"Sales Agents, Financial Services",13-2011.02,Auditors,10
41-3041.00,Travel Agents,13-2072.00,Loan Officers,1
41-3041.00,Travel Agents,13-1199.03,Customs Brokers,2
41-3041.00,Travel Agents,43-6011.00,Executive Secretaries and Executive Administrative Assistants,3
41-3041.00,Travel Agents,39-7012.00,Travel Guides,4
41-3041.00,Travel Agents,41-3011.00,Advertising Sales Agents,5
41-3041.00,Travel Agents,43-4011.00,Brokerage Clerks,6
41-3041.00,Travel Agents,43-4131.00,Loan Interviewers and Clerks,7
41-3041.00,Travel Agents,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",8
41-3041.00,Travel Agents,13-2082.00,Tax Preparers,9
41-3041.00,Travel Agents,43-3061.00,Procurement Clerks,10
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-3021.00,Insurance Sales Agents,1
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",2
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",27-3043.04,Copy Writers,3
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-3011.00,Advertising Sales Agents,4
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",27-3031.00,Public Relations Specialists,5
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",13-2052.00,Personal Financial Advisors,6
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",11-2022.00,Sales Managers,7
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",11-2021.00,Marketing Managers,8
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-3031.02,"Sales Agents, Financial Services",9
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",13-1161.00,Market Research Analysts and Marketing Specialists,10
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-9021.00,Real Estate Brokers,1
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-3011.00,Advertising Sales Agents,2
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",33-9021.00,Private Detectives and Investigators,3
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-2031.00,Retail Salespersons,4
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-9022.00,Real Estate Sales Agents,5
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",6
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",13-1032.00,"Insurance Appraisers, Auto Damage",7
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",13-1021.00,"Buyers and Purchasing Agents, Farm Products",8
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",9
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",11-9141.00,"Property, Real Estate, and Community Association Managers",10
41-9011.00,Demonstrators and Product Promoters,41-2031.00,Retail Salespersons,1
41-9011.00,Demonstrators and Product Promoters,43-5051.00,Postal Service Clerks,2
41-9011.00,Demonstrators and Product Promoters,43-4171.00,Receptionists and Information Clerks,3
41-9011.00,Demonstrators and Product Promoters,41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",4
41-9011.00,Demonstrators and Product Promoters,39-5093.00,Shampooers,5
41-9011.00,Demonstrators and Product Promoters,43-2011.00,"Switchboard Operators, Including Answering Service",6
41-9011.00,Demonstrators and Product Promoters,41-2022.00,Parts Salespersons,7
41-9011.00,Demonstrators and Product Promoters,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",8
41-9011.00,Demonstrators and Product Promoters,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",9
41-9011.00,Demonstrators and Product Promoters,35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",10
41-9012.00,Models,45-2041.00,"Graders and Sorters, Agricultural Products",1
41-9012.00,Models,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",2
41-9012.00,Models,43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",3
41-9012.00,Models,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",4
41-9012.00,Models,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,5
41-9012.00,Models,37-2012.00,Maids and Housekeeping Cleaners,6
41-9012.00,Models,33-9091.00,Crossing Guards,7
41-9012.00,Models,51-6031.00,Sewing Machine Operators,8
41-9012.00,Models,35-2021.00,Food Preparation Workers,9
41-9012.00,Models,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",10
41-9021.00,Real Estate Brokers,41-9022.00,Real Estate Sales Agents,1
41-9021.00,Real Estate Brokers,13-2072.00,Loan Officers,2
41-9021.00,Real Estate Brokers,13-2021.01,Assessors,3
41-9021.00,Real Estate Brokers,11-9141.00,"Property, Real Estate, and Community Association Managers",4
41-9021.00,Real Estate Brokers,41-3011.00,Advertising Sales Agents,5
41-9021.00,Real Estate Brokers,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",6
41-9021.00,Real Estate Brokers,11-3011.00,Administrative Services Managers,7
41-9021.00,Real Estate Brokers,33-9021.00,Private Detectives and Investigators,8
41-9021.00,Real Estate Brokers,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",9
41-9021.00,Real Estate Brokers,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",10
41-9022.00,Real Estate Sales Agents,41-9021.00,Real Estate Brokers,1
41-9022.00,Real Estate Sales Agents,41-3011.00,Advertising Sales Agents,2
41-9022.00,Real Estate Sales Agents,13-2072.00,Loan Officers,3
41-9022.00,Real Estate Sales Agents,13-2021.01,Assessors,4
41-9022.00,Real Estate Sales Agents,11-3011.00,Administrative Services Managers,5
41-9022.00,Real Estate Sales Agents,41-3021.00,Insurance Sales Agents,6
41-9022.00,Real Estate Sales Agents,11-9141.00,"Property, Real Estate, and Community Association Managers",7
41-9022.00,Real Estate Sales Agents,39-7012.00,Travel Guides,8
41-9022.00,Real Estate Sales Agents,41-3041.00,Travel Agents,9
41-9022.00,Real Estate Sales Agents,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,10
41-9031.00,Sales Engineers,13-1081.01,Logistics Engineers,1
41-9031.00,Sales Engineers,17-2199.03,Energy Engineers,2
41-9031.00,Sales Engineers,17-2051.01,Transportation Engineers,3
41-9031.00,Sales Engineers,17-2111.02,Fire-Prevention and Protection Engineers,4
41-9031.00,Sales Engineers,13-1081.02,Logistics Analysts,5
41-9031.00,Sales Engineers,17-2121.02,Marine Architects,6
41-9031.00,Sales Engineers,11-3061.00,Purchasing Managers,7
41-9031.00,Sales Engineers,11-3071.03,Logistics Managers,8
41-9031.00,Sales Engineers,17-2112.00,Industrial Engineers,9
41-9031.00,Sales Engineers,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",10
41-9041.00,Telemarketers,43-2011.00,"Switchboard Operators, Including Answering Service",1
41-9041.00,Telemarketers,43-2021.00,Telephone Operators,2
41-9041.00,Telemarketers,43-4171.00,Receptionists and Information Clerks,3
41-9041.00,Telemarketers,43-9041.01,Insurance Claims Clerks,4
41-9041.00,Telemarketers,43-3011.00,Bill and Account Collectors,5
41-9041.00,Telemarketers,43-4051.00,Customer Service Representatives,6
41-9041.00,Telemarketers,41-9011.00,Demonstrators and Product Promoters,7
41-9041.00,Telemarketers,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",8
41-9041.00,Telemarketers,43-4031.03,License Clerks,9
41-9041.00,Telemarketers,43-5081.04,"Order Fillers, Wholesale and Retail Sales",10
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",27-2042.01,Singers,1
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",41-2031.00,Retail Salespersons,2
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",41-9011.00,Demonstrators and Product Promoters,3
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",43-4081.00,"Hotel, Motel, and Resort Desk Clerks",4
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",43-4171.00,Receptionists and Information Clerks,5
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",41-9041.00,Telemarketers,6
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",43-4051.00,Customer Service Representatives,7
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",39-6012.00,Concierges,8
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",43-3011.00,Bill and Account Collectors,9
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",43-4041.02,Credit Checkers,10
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,11-9071.00,Gaming Managers,1
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,11-3011.00,Administrative Services Managers,2
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,11-9131.00,Postmasters and Mail Superintendents,3
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,11-1021.00,General and Operations Managers,4
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,13-1071.00,Human Resources Specialists,5
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,6
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,11-9081.00,Lodging Managers,7
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,11-3131.00,Training and Development Managers,8
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,9
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,11-3121.00,Human Resources Managers,10
43-2011.00,"Switchboard Operators, Including Answering Service",43-4171.00,Receptionists and Information Clerks,1
43-2011.00,"Switchboard Operators, Including Answering Service",43-4031.03,License Clerks,2
43-2011.00,"Switchboard Operators, Including Answering Service",29-2071.00,Medical Records and Health Information Technicians,3
43-2011.00,"Switchboard Operators, Including Answering Service",43-9041.01,Insurance Claims Clerks,4
43-2011.00,"Switchboard Operators, Including Answering Service",43-6013.00,Medical Secretaries,5
43-2011.00,"Switchboard Operators, Including Answering Service",43-9061.00,"Office Clerks, General",6
43-2011.00,"Switchboard Operators, Including Answering Service",43-4111.00,"Interviewers, Except Eligibility and Loan",7
43-2011.00,"Switchboard Operators, Including Answering Service",43-3011.00,Bill and Account Collectors,8
43-2011.00,"Switchboard Operators, Including Answering Service",43-9022.00,Word Processors and Typists,9
43-2011.00,"Switchboard Operators, Including Answering Service",43-4051.00,Customer Service Representatives,10
43-2021.00,Telephone Operators,43-2011.00,"Switchboard Operators, Including Answering Service",1
43-2021.00,Telephone Operators,43-4171.00,Receptionists and Information Clerks,2
43-2021.00,Telephone Operators,43-4111.00,"Interviewers, Except Eligibility and Loan",3
43-2021.00,Telephone Operators,43-4051.00,Customer Service Representatives,4
43-2021.00,Telephone Operators,43-4031.03,License Clerks,5
43-2021.00,Telephone Operators,41-9041.00,Telemarketers,6
43-2021.00,Telephone Operators,43-3011.00,Bill and Account Collectors,7
43-2021.00,Telephone Operators,29-2071.00,Medical Records and Health Information Technicians,8
